Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
57580.0000000000,330.2283748000,232.0553872000,0.7114745790,60232.0000000000,0.6451034650,992.1140000000,Kecimen
69708.0000000000,375.4472798000,239.1327753000,0.7709235340,71321.0000000000,0.7271778930,1022.5680000000,Kecimen
41502.0000000000,260.5126753000,205.8650238000,0.6128099110,43114.0000000000,0.8243192250,790.4270000000,Kecimen
45800.0000000000,330.0086832000,181.6658648000,0.8348429870,47802.0000000000,0.7326827710,870.3870000000,Kecimen
52623.0000000000,311.9967579000,218.0411235000,0.7152614000,54175.0000000000,0.6751905360,902.6240000000,Kecimen
44939.0000000000,317.6167119000,183.3152147000,0.8166320820,46400.0000000000,0.6561779050,845.7860000000,Kecimen
114648.0000000000,508.1289326000,288.9539812000,0.8225707940,118314.0000000000,0.6819049660,1340.8970000000,Kecimen
65727.0000000000,403.1942717000,210.0732642000,0.8535429780,67372.0000000000,0.6169811320,1030.1550000000,Kecimen
45683.0000000000,333.2625321000,177.7720961000,0.8458444730,48787.0000000000,0.6342306570,901.1020000000,Kecimen
111450.0000000000,478.3109708000,298.6305920000,0.7811495060,113256.0000000000,0.6900928790,1298.1880000000,Kecimen
47581.0000000000,306.8118747000,203.0975020000,0.7495382620,49203.0000000000,0.6677753920,861.5800000000,Kecimen
57127.0000000000,311.6445775000,238.6419206000,0.6431380240,59943.0000000000,0.6936255460,952.0230000000,Kecimen
53006.0000000000,333.3813698000,206.8807081000,0.7841647470,55456.0000000000,0.6916953750,936.3710000000,Kecimen
69060.0000000000,328.4888612000,275.8888648000,0.5427832470,72223.0000000000,0.7270238970,1039.5510000000,Kecimen
25387.0000000000,225.6295410000,144.6186720000,0.7675773860,26139.0000000000,0.6781440320,619.0740000000,Kecimen
66774.0000000000,348.5579747000,246.4762569000,0.7070822530,69097.0000000000,0.6924464910,1003.3740000000,Kecimen
47839.0000000000,312.6013291000,198.7512989000,0.7718554960,50166.0000000000,0.7027705960,868.0600000000,Kecimen
78571.0000000000,443.8222908000,228.7576146000,0.8569340020,81718.0000000000,0.6421927620,1157.3300000000,Kecimen
64717.0000000000,342.5767105000,245.7320369000,0.6967591620,66649.0000000000,0.6625409500,997.9890000000,Kecimen
60462.0000000000,373.3428463000,208.1086262000,0.8302309140,62213.0000000000,0.6656831120,990.5470000000,Kecimen
59370.0000000000,345.9492049000,221.9219567000,0.7671338110,61464.0000000000,0.6974859020,981.5170000000,Kecimen
54056.0000000000,332.2676409000,208.6190158000,0.7783227620,55539.0000000000,0.6745532590,912.1530000000,Kecimen
89235.0000000000,443.5159353000,258.9467393000,0.8118616150,91201.0000000000,0.6551906430,1179.6940000000,Kecimen
51727.0000000000,321.1271422000,208.7667575000,0.7598433280,52913.0000000000,0.7518896450,903.3080000000,Kecimen
71595.0000000000,387.3096951000,236.7511846000,0.7914213570,74045.0000000000,0.7185367320,1069.7700000000,Kecimen
95347.0000000000,451.5261542000,280.2261534000,0.7841114960,99256.0000000000,0.6749561110,1255.2450000000,Kecimen
60449.0000000000,383.8002498000,208.1687832000,0.8401278950,64346.0000000000,0.6763448800,1054.1980000000,Kecimen
69006.0000000000,379.3178462000,241.8502909000,0.7703736400,72895.0000000000,0.6974530020,1086.8570000000,Kecimen
68520.0000000000,373.2356380000,237.0415232000,0.7724308740,70759.0000000000,0.7128589260,1049.0930000000,Kecimen
52731.0000000000,309.9772864000,219.7253525000,0.7053658900,54438.0000000000,0.6958799620,894.4800000000,Kecimen
50570.0000000000,311.3447951000,208.3178983000,0.7431807800,51743.0000000000,0.7208632680,873.7770000000,Kecimen
75825.0000000000,391.2043013000,248.5002712000,0.7723323490,77437.0000000000,0.7453700060,1081.3390000000,Kecimen
42637.0000000000,293.4295802000,189.4321576000,0.7636929690,44052.0000000000,0.7251190480,814.1820000000,Kecimen
76984.0000000000,425.0481856000,233.9734424000,0.8348593390,78641.0000000000,0.7587545950,1091.7540000000,Kecimen
47851.0000000000,323.1525189000,191.6109615000,0.8052445770,49187.0000000000,0.7732370240,860.4020000000,Kecimen
51220.0000000000,328.6476055000,202.5088754000,0.7875987120,52903.0000000000,0.6924709670,896.7280000000,Kecimen
53890.0000000000,331.0863197000,216.5794558000,0.7563665690,57109.0000000000,0.7044444440,957.1320000000,Kecimen
58650.0000000000,346.3389582000,219.6843649000,0.7730832960,62380.0000000000,0.6602870810,991.6120000000,Kecimen
98935.0000000000,387.5169377000,326.8987235000,0.5370149330,100747.0000000000,0.7404205960,1176.6000000000,Kecimen
77587.0000000000,396.8075663000,251.9449198000,0.7725698940,79970.0000000000,0.7038646470,1100.8360000000,Kecimen
180898.0000000000,843.9566534000,323.1905688000,0.9237703640,221396.0000000000,0.4541889290,2253.5570000000,Kecimen
71266.0000000000,390.7071540000,235.6868033000,0.7975662610,73002.0000000000,0.6606288700,1034.1830000000,Kecimen
39457.0000000000,267.5569406000,188.7651659000,0.7086959880,40472.0000000000,0.6975761540,755.8220000000,Kecimen
35237.0000000000,267.5537786000,173.5251032000,0.7611621830,37418.0000000000,0.7068322230,750.9090000000,Kecimen
49059.0000000000,301.8003982000,210.4672152000,0.7167091320,50835.0000000000,0.6986073140,867.5820000000,Kecimen
53896.0000000000,319.0720226000,217.6957013000,0.7310931850,55392.0000000000,0.7459447490,889.6260000000,Kecimen
56469.0000000000,325.3414250000,225.1150238000,0.7219600820,58697.0000000000,0.6857361440,933.8960000000,Kecimen
85156.0000000000,422.2791325000,260.2106227000,0.7875856000,87057.0000000000,0.7025608870,1140.6840000000,Kecimen
67044.0000000000,361.2553722000,238.2264457000,0.7517567060,68626.0000000000,0.7569435040,989.0160000000,Kecimen
52243.0000000000,331.4511469000,206.7595988000,0.7815831080,55774.0000000000,0.7144341880,934.5470000000,Kecimen
38968.0000000000,269.4020207000,185.7275682000,0.7243744550,40147.0000000000,0.7375832830,769.2420000000,Kecimen
79661.0000000000,360.0734473000,282.7390316000,0.6192092810,81032.0000000000,0.7791568860,1045.6580000000,Kecimen
59282.0000000000,329.2425655000,233.7746492000,0.7041636160,60580.0000000000,0.7259257450,920.5730000000,Kecimen
48177.0000000000,305.7845030000,202.4661938000,0.7493973700,49877.0000000000,0.6776425910,860.5480000000,Kecimen
74904.0000000000,342.8963104000,280.1155681000,0.5767645700,75898.0000000000,0.7317416280,1012.3650000000,Kecimen
81581.0000000000,424.2783146000,245.5074738000,0.8155779400,83143.0000000000,0.7623822520,1114.7360000000,Kecimen
57820.0000000000,376.1911744000,199.7971077000,0.8473058560,59968.0000000000,0.7147802010,978.8500000000,Kecimen
57808.0000000000,309.9716571000,241.3665105000,0.6274301620,58954.0000000000,0.7103465220,911.8570000000,Kecimen
55306.0000000000,353.1546092000,204.1268360000,0.8160298010,57396.0000000000,0.7439902070,973.2590000000,Kecimen
59459.0000000000,347.1551548000,222.1094780000,0.7685423850,61585.0000000000,0.7096192860,966.3290000000,Kecimen
44247.0000000000,319.7903082000,178.6479431000,0.8294096420,45872.0000000000,0.6776372210,842.1210000000,Kecimen
48945.0000000000,269.3704112000,239.1621656000,0.4601212090,51456.0000000000,0.7112444780,872.2890000000,Kecimen
68864.0000000000,343.6762094000,261.9884386000,0.6472099200,71726.0000000000,0.6983470240,1035.0220000000,Kecimen
82826.0000000000,396.7059122000,269.7628551000,0.7332054840,84981.0000000000,0.7454347450,1115.8110000000,Kecimen
65396.0000000000,331.5384446000,253.2429662000,0.6454033640,66783.0000000000,0.7648297160,975.4250000000,Kecimen
81572.0000000000,393.7161760000,265.8146124000,0.7376871280,84964.0000000000,0.6982708440,1187.3380000000,Kecimen
44367.0000000000,322.5040186000,176.7089727000,0.8365255150,46531.0000000000,0.7329996030,883.9730000000,Kecimen
51448.0000000000,328.2895680000,202.1603698000,0.7879033310,52772.0000000000,0.7048057430,877.7990000000,Kecimen
50545.0000000000,286.8713324000,227.1597173000,0.6107126770,51771.0000000000,0.8354545450,847.6640000000,Kecimen
94063.0000000000,448.1210966000,276.6078440000,0.7867581560,99085.0000000000,0.7092938200,1259.4510000000,Kecimen
84129.0000000000,413.0345598000,261.6430865000,0.7737710490,86242.0000000000,0.7138347970,1144.9730000000,Kecimen
79735.0000000000,410.9979193000,250.2207874000,0.7933139320,83306.0000000000,0.7490441430,1154.5400000000,Kecimen
90176.0000000000,390.2073410000,294.7622385000,0.6552650900,91793.0000000000,0.7625490460,1136.6690000000,Kecimen
61492.0000000000,356.4260216000,224.1631050000,0.7774708120,65298.0000000000,0.6908437250,1013.2020000000,Kecimen
79532.0000000000,367.5260058000,277.2241619000,0.6565321020,81603.0000000000,0.7351141510,1075.2710000000,Kecimen
69302.0000000000,354.9636669000,254.4527709000,0.6972359190,71843.0000000000,0.7011533790,1051.0200000000,Kecimen
52266.0000000000,320.4425614000,213.8574996000,0.7447158340,54116.0000000000,0.6842890810,923.1900000000,Kecimen
51180.0000000000,288.6310651000,226.6304906000,0.6192537640,52396.0000000000,0.7374427250,855.9970000000,Kecimen
55787.0000000000,333.7034529000,226.9512079000,0.7331207750,59520.0000000000,0.6885923770,977.4250000000,Kecimen
96064.0000000000,411.2070534000,303.2324524000,0.6754340940,99609.0000000000,0.7313311260,1223.9040000000,Kecimen
54316.0000000000,351.8052608000,198.4175196000,0.8257760450,55960.0000000000,0.6558952810,930.6270000000,Kecimen
70941.0000000000,326.0111541000,278.1026598000,0.5218349770,72330.0000000000,0.7601092900,993.0500000000,Kecimen
55770.0000000000,293.5806697000,243.4806344000,0.5587319290,57633.0000000000,0.7401656310,900.1090000000,Kecimen
47478.0000000000,299.8185828000,205.2960945000,0.7287927100,48900.0000000000,0.7209146950,861.1790000000,Kecimen
88197.0000000000,473.2866901000,238.7384529000,0.8634545060,90297.0000000000,0.6584568290,1193.2800000000,Kecimen
74728.0000000000,355.3105490000,270.7408973000,0.6475960350,76287.0000000000,0.7666769260,1048.6750000000,Kecimen
70788.0000000000,362.6507703000,249.4037249000,0.7259720180,71954.0000000000,0.7461579000,1003.7690000000,Kecimen
48894.0000000000,318.0989115000,197.4955028000,0.7839199380,50468.0000000000,0.6638155750,875.1740000000,Kecimen
52051.0000000000,313.7032602000,213.6317375000,0.7322839570,53550.0000000000,0.6950512770,893.4510000000,Kecimen
53270.0000000000,336.1488879000,204.3070754000,0.7940997520,55288.0000000000,0.6936920510,922.0110000000,Kecimen
57227.0000000000,354.4310800000,207.5949862000,0.8105183330,59307.0000000000,0.6499818270,953.4960000000,Kecimen
97026.0000000000,455.9715909000,273.0538098000,0.8008690440,99561.0000000000,0.6712047320,1212.6670000000,Kecimen
58495.0000000000,368.7395425000,205.7578712000,0.8298387490,61496.0000000000,0.6301031950,998.4370000000,Kecimen
53758.0000000000,359.5316125000,193.4008772000,0.8429929950,57197.0000000000,0.7102954390,965.0680000000,Kecimen
110616.0000000000,461.1445532000,306.8990650000,0.7463836100,112150.0000000000,0.7523976660,1252.8750000000,Kecimen
49175.0000000000,281.4314214000,224.4858963000,0.6031106390,50672.0000000000,0.7276130450,845.1280000000,Kecimen
53698.0000000000,348.2232313000,197.7528973000,0.8231036520,56089.0000000000,0.7313412510,938.7050000000,Kecimen
73125.0000000000,408.9407730000,231.2190014000,0.8248103340,75540.0000000000,0.6565126050,1096.7510000000,Kecimen
50445.0000000000,308.3589121000,208.8552452000,0.7356957380,51555.0000000000,0.7232258060,851.6320000000,Kecimen
46742.0000000000,303.5552029000,199.4459327000,0.7538613930,48077.0000000000,0.7052628400,847.7920000000,Kecimen
69317.0000000000,393.3989966000,228.7228830000,0.8136165880,72170.0000000000,0.6616743030,1066.3880000000,Kecimen
75314.0000000000,392.6515582000,246.0756721000,0.7792586910,77118.0000000000,0.7047121790,1073.7680000000,Kecimen
54428.0000000000,339.1147492000,206.6458262000,0.7928871940,56175.0000000000,0.7233918130,922.8780000000,Kecimen
39509.0000000000,286.2315627000,180.4373603000,0.7762790270,41446.0000000000,0.7229724780,790.5310000000,Kecimen
66568.0000000000,342.2503611000,249.5505000000,0.6843581170,68078.0000000000,0.7599173510,993.4550000000,Kecimen
45264.0000000000,290.5883604000,203.3191422000,0.7144554280,48142.0000000000,0.6569139670,879.8320000000,Kecimen
57980.0000000000,336.3128880000,222.6097658000,0.7495809500,59311.0000000000,0.7772951520,925.7950000000,Kecimen
75114.0000000000,368.7301190000,262.4744722000,0.7023481950,77454.0000000000,0.7409153680,1051.2660000000,Kecimen
78991.0000000000,362.6408695000,279.0908401000,0.6385182370,80355.0000000000,0.7088972250,1071.3850000000,Kecimen
76253.0000000000,364.2255696000,269.5167915000,0.6726374670,78443.0000000000,0.7242876140,1070.0530000000,Kecimen
83229.0000000000,423.8443740000,253.8090710000,0.8008790850,86345.0000000000,0.6534940330,1153.4340000000,Kecimen
45962.0000000000,251.1333844000,235.3680757000,0.3487296420,47173.0000000000,0.7422803620,810.1950000000,Kecimen
57766.0000000000,344.7374160000,215.1097845000,0.7814390800,59834.0000000000,0.7375826760,950.7210000000,Kecimen
39669.0000000000,252.7481980000,202.2643597000,0.5996527190,41860.0000000000,0.6630396630,791.4640000000,Kecimen
41050.0000000000,316.8416360000,167.3283344000,0.8491738150,42965.0000000000,0.6411858420,846.8330000000,Kecimen
47771.0000000000,311.5249871000,197.0908490000,0.7744258730,49237.0000000000,0.6834093930,857.7760000000,Kecimen
53389.0000000000,301.8458980000,228.5166995000,0.6533405820,55158.0000000000,0.7157469970,906.6660000000,Kecimen
73319.0000000000,392.3626656000,239.1884853000,0.7927009370,75653.0000000000,0.7095684660,1075.2790000000,Kecimen
91831.0000000000,463.3578718000,257.9511277000,0.8307139040,95560.0000000000,0.7103703820,1252.7620000000,Kecimen
71452.0000000000,397.9614266000,239.7987804000,0.7980676210,73864.0000000000,0.7518334960,1101.5020000000,Kecimen
59970.0000000000,353.0016249000,219.6829418000,0.7827562480,61834.0000000000,0.7558227470,978.6310000000,Kecimen
51683.0000000000,325.2398678000,208.9148245000,0.7664191710,54510.0000000000,0.7284425650,928.2170000000,Kecimen
41283.0000000000,268.1253606000,199.6354013000,0.6675556170,42505.0000000000,0.7323836220,798.5150000000,Kecimen
92735.0000000000,436.9855670000,271.5787847000,0.7834282230,94693.0000000000,0.7041221540,1183.4470000000,Kecimen
44627.0000000000,297.2593228000,194.7602777000,0.7554672250,46921.0000000000,0.6751845800,848.4870000000,Kecimen
84260.0000000000,411.3973639000,262.9740989000,0.7690225560,85978.0000000000,0.6867827330,1157.0010000000,Kecimen
59076.0000000000,350.4871954000,216.6793239000,0.7860025730,61643.0000000000,0.6454982520,988.2730000000,Kecimen
58741.0000000000,345.4854484000,222.3818455000,0.7652953070,60701.0000000000,0.7148194120,948.2330000000,Kecimen
68627.0000000000,411.8885236000,216.8939999000,0.8501229630,70932.0000000000,0.7382422550,1097.2920000000,Kecimen
51941.0000000000,349.2261695000,191.8173343000,0.8356489380,53893.0000000000,0.7089953590,912.2590000000,Kecimen
77161.0000000000,394.2783917000,253.2113600000,0.7665248470,82746.0000000000,0.6719000350,1127.4090000000,Kecimen
85105.0000000000,382.2899916000,288.7584072000,0.6553346620,88056.0000000000,0.7769449870,1139.4460000000,Kecimen
52508.0000000000,297.6969009000,226.2519485000,0.6499140230,53588.0000000000,0.7561635940,862.7780000000,Kecimen
39941.0000000000,251.8477358000,208.4681478000,0.5610901450,41594.0000000000,0.7075715700,777.6630000000,Kecimen
48693.0000000000,306.5739068000,204.2806212000,0.7456533940,50298.0000000000,0.7401276790,848.4220000000,Kecimen
87858.0000000000,441.2240880000,255.6622254000,0.8150159630,90905.0000000000,0.7087265860,1176.2870000000,Kecimen
67718.0000000000,373.9240984000,233.2332051000,0.7816280750,71102.0000000000,0.7369944710,1024.9930000000,Kecimen
63968.0000000000,333.0124213000,247.8885463000,0.6677537100,65403.0000000000,0.7569998340,953.4450000000,Kecimen
43461.0000000000,333.7059198000,169.3095334000,0.8617333210,45669.0000000000,0.6779341110,867.4460000000,Kecimen
81546.0000000000,381.3486543000,273.8100991000,0.6960383270,82807.0000000000,0.7117197320,1057.4480000000,Kecimen
43563.0000000000,296.5221609000,188.1957136000,0.7727777530,45174.0000000000,0.6962838650,817.4100000000,Kecimen
36145.0000000000,280.7576527000,166.5935504000,0.8049288340,37401.0000000000,0.8122654440,747.1610000000,Kecimen
57741.0000000000,316.4840294000,234.2836291000,0.6723097070,58976.0000000000,0.7127110690,906.8290000000,Kecimen
69024.0000000000,372.8219867000,237.6598183000,0.7704818650,70649.0000000000,0.7210429550,1015.7710000000,Kecimen
78982.0000000000,421.1618485000,241.6404129000,0.8190324780,81442.0000000000,0.7534365490,1102.4230000000,Kecimen
78240.0000000000,401.9300875000,249.8313709000,0.7833513470,79677.0000000000,0.7579926370,1059.6440000000,Kecimen
87036.0000000000,384.9699031000,289.4539006000,0.6592918940,88336.0000000000,0.7278961630,1094.5900000000,Kecimen
37569.0000000000,232.4278475000,208.1520065000,0.4449500900,38874.0000000000,0.7943713790,734.1020000000,Kecimen
79748.0000000000,441.9342925000,231.7175312000,0.8515177650,81718.0000000000,0.7384484320,1120.9630000000,Kecimen
44156.0000000000,307.7069822000,186.0924236000,0.7963990150,45285.0000000000,0.6336059690,820.7140000000,Kecimen
87302.0000000000,392.9101168000,284.1790677000,0.6905681050,89605.0000000000,0.7382458400,1122.1600000000,Kecimen
69312.0000000000,373.8031053000,237.1945766000,0.7728866100,70719.0000000000,0.7061556330,1001.2360000000,Kecimen
86545.0000000000,350.1278744000,315.7195205000,0.4323073450,87512.0000000000,0.7858868180,1070.0620000000,Kecimen
59729.0000000000,337.0434753000,231.8092351000,0.7259262930,62511.0000000000,0.6837110810,966.4380000000,Kecimen
59822.0000000000,336.5840696000,227.9495391000,0.7357585030,60648.0000000000,0.7002868010,916.0440000000,Kecimen
63452.0000000000,334.8459883000,243.2364806000,0.6872584270,64925.0000000000,0.7353172950,945.5230000000,Kecimen
61996.0000000000,333.7476396000,243.5402450000,0.6837527540,63641.0000000000,0.6731378940,958.6270000000,Kecimen
74763.0000000000,391.2271690000,245.5420203000,0.7785197860,77508.0000000000,0.6861130990,1063.3770000000,Kecimen
73193.0000000000,401.0723020000,235.8289934000,0.8088636830,75563.0000000000,0.7401156790,1050.9090000000,Kecimen
66508.0000000000,344.9045201000,249.0897821000,0.6916850860,69240.0000000000,0.7030146720,1001.7140000000,Kecimen
74849.0000000000,379.9250258000,252.6171178000,0.7469207460,76154.0000000000,0.7353926570,1040.7880000000,Kecimen
38585.0000000000,274.4450783000,180.9575592000,0.7518291180,39926.0000000000,0.6965933090,762.4390000000,Kecimen
61377.0000000000,339.7334965000,234.0242375000,0.7249072140,64027.0000000000,0.7056125260,975.5530000000,Kecimen
39547.0000000000,259.4226253000,198.4655312000,0.6439972060,40765.0000000000,0.7333840220,763.9790000000,Kecimen
49998.0000000000,301.7807071000,212.3269430000,0.7106158190,50857.0000000000,0.7792948660,834.3280000000,Kecimen
49063.0000000000,294.7482868000,217.9131090000,0.6733549680,50732.0000000000,0.6588113650,869.7950000000,Kecimen
46961.0000000000,343.7885277000,177.1367946000,0.8570403550,48476.0000000000,0.6146325500,891.5280000000,Kecimen
57271.0000000000,372.6991236000,196.9761351000,0.8489255370,58786.0000000000,0.7691512220,949.9360000000,Kecimen
58909.0000000000,347.3439411000,218.1227905000,0.7782347220,60379.0000000000,0.7042571760,944.8790000000,Kecimen
51336.0000000000,321.8844382000,206.1461473000,0.7680121510,53944.0000000000,0.7426008970,898.5460000000,Kecimen
62422.0000000000,324.5569613000,247.7078670000,0.6461405180,64021.0000000000,0.7160621290,947.5410000000,Kecimen
48447.0000000000,331.0510122000,189.9172045000,0.8190798150,49996.0000000000,0.6256150000,883.0440000000,Kecimen
64364.0000000000,376.6624701000,221.6551009000,0.8085180150,67510.0000000000,0.6547444660,1057.8970000000,Kecimen
72915.0000000000,414.7180727000,229.5557698000,0.8328342460,76912.0000000000,0.6797714050,1131.0960000000,Kecimen
49414.0000000000,290.4582370000,219.4182435000,0.6552397700,51029.0000000000,0.7110337290,869.1880000000,Kecimen
45723.0000000000,291.1972864000,203.0202207000,0.7168851110,48658.0000000000,0.6488292890,875.7640000000,Kecimen
64988.0000000000,371.3536275000,226.9099341000,0.7916038500,67847.0000000000,0.6701175500,1048.1860000000,Kecimen
56709.0000000000,293.4084980000,247.7165958000,0.5359148210,58143.0000000000,0.7782855730,904.5080000000,Kecimen
93559.0000000000,438.6343535000,275.5829735000,0.7779913850,95750.0000000000,0.6870699340,1198.2590000000,Kecimen
81916.0000000000,398.3265530000,265.4181085000,0.7456543400,85615.0000000000,0.6630726890,1113.1440000000,Kecimen
79274.0000000000,406.9762258000,255.2178271000,0.7789327530,81976.0000000000,0.7083854590,1110.3780000000,Kecimen
88724.0000000000,446.4304557000,260.3787541000,0.8122956140,92630.0000000000,0.6565291070,1216.5350000000,Kecimen
65469.0000000000,374.4662312000,227.5389974000,0.7942159840,68018.0000000000,0.7144384910,1020.0290000000,Kecimen
75799.0000000000,340.9827093000,289.1504700000,0.5300096810,79230.0000000000,0.7411003240,1065.1910000000,Kecimen
76741.0000000000,383.9821631000,258.1339883000,0.7403195310,79198.0000000000,0.7452029520,1056.7400000000,Kecimen
54219.0000000000,344.2908319000,204.4966891000,0.8044909140,56526.0000000000,0.6884952380,931.4300000000,Kecimen
52693.0000000000,283.5042387000,242.1139544000,0.5202652790,54860.0000000000,0.7377492160,895.7450000000,Kecimen
84539.0000000000,441.5288902000,248.3743168000,0.8267752250,87728.0000000000,0.6875772660,1169.9830000000,Kecimen
34559.0000000000,264.5151675000,168.9830565000,0.7693390360,36516.0000000000,0.6641874230,750.3650000000,Kecimen
49715.0000000000,302.3473906000,213.3645111000,0.7085174980,52250.0000000000,0.6501072290,877.4300000000,Kecimen
39716.0000000000,243.0382802000,210.1140569000,0.5025799950,40598.0000000000,0.7794328330,737.4680000000,Kecimen
46845.0000000000,264.9672544000,225.8424990000,0.5229861700,47739.0000000000,0.7590906140,799.9910000000,Kecimen
52547.0000000000,358.3657191000,189.2067438000,0.8492623360,54649.0000000000,0.7034027630,929.4710000000,Kecimen
41593.0000000000,310.6748925000,178.3232873000,0.8188645510,44753.0000000000,0.5726696960,870.0630000000,Kecimen
44460.0000000000,294.6241320000,197.5565774000,0.7418754890,47486.0000000000,0.6474254430,849.2250000000,Kecimen
51145.0000000000,317.3482375000,211.0255917000,0.7468741810,53531.0000000000,0.7100513670,895.0400000000,Kecimen
43345.0000000000,323.8592139000,175.1857446000,0.8410664640,46785.0000000000,0.6492757530,877.0200000000,Kecimen
